duAn,huong,phapLy,noBed,soLau,Precinct,District,acreage_value,noBathroom
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Huyện Gia Lâm,53.0,1.0
Feliz Homes,,,2.0,,Phường Hoàng Văn Thụ,Quận Hoàng Mai,73.0,-1.0
Stellar Garden,,,3.0,,Phường Thanh Xuân Trung,Quận Thanh Xuân,93.0,2.0
Viha Complex,,,3.0,,,Quận Thanh Xuân,93.0,3.0
The Pride,,,3.0,,Phường La Khê,Quận Hà Đông,146.0,-1.0
QMS Tower,,,2.0,,,Quận Nam Từ Liêm,67.0,2.0
,,,3.0,12.0,Phường Mỹ Đình 1,Quận Nam Từ Liêm,82.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,10.0,Phường Yên Hòa,Quận Cầu Giấy,62.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,4.0,6.0,Phường Thanh Xuân Bắc,Quận Thanh Xuân,140.0,-1.0
,,,3.0,,Phường Nhân Chính,Quận Thanh Xuân,74.0,-1.0
Times City,Bắc,,2.0,,Phường Vĩnh Tuy,Quận Hai Bà Trưng,76.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,12.0,Phường Mộ Lao,Quận Hà Đông,90.0,-1.0
Park Hill Premium - Times City,,,2.0,,,Quận Hai Bà Trưng,70.0,1.0
KĐT Định Công,,,2.0,,Phường Định Công,Quận Hoàng Mai,68.0,2.0
,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Dịch Vọng,Quận Cầu Giấy,96.0,-1.0
Khai Sơn City,,,2.0,,Phường Ngọc Thụy,Quận Long Biên,77.0,2.0
,Tây Bắc,Giấy tờ hợp lệ,2.0,,Phường Hoàng Liệt,Quận Hoàng Mai,71.0,-1.0
Bình Minh Garden,Đông,,3.0,,Phường Đức Giang,Quận Long Biên,104.0,2.0
The Miami,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,64.0,2.0
Goldmark City,,,3.0,,,Quận Bắc Từ Liêm,99.0,2.0
Dream Town,,,3.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,129.0,2.0
Handi Resco Lê văn Lương,,,2.0,,Phường Nhân Chính,Quận Thanh Xuân,71.0,2.0
Ecolife Capitol,,,2.0,,Phường Trung Văn,Quận Nam Từ Liêm,76.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,3.0,Phường Nhân Chính,Quận Thanh Xuân,55.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Phạm Đình Hổ,Quận Hai Bà Trưng,80.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,16.0,Phường Mộ Lao,Quận Hà Đông,70.0,-1.0
,,,3.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,128.0,-1.0
Khai Sơn City,,,2.0,,Phường Ngọc Thụy,Quận Long Biên,77.0,2.0
K35 Tân Mai,,,3.0,,Phường Tương Mai,Quận Hoàng Mai,96.0,2.0
310 Minh Khai,,,3.0,,,Quận Hai Bà Trưng,98.0,2.0
Khu đô thị mới Văn Phú,,,3.0,,Phường Phú La,Quận Hà Đông,105.0,-1.0
,,,3.0,6.0,Phường Tương Mai,Quận Hoàng Mai,84.0,-1.0
HH2 Linh Đàm,,,2.0,,Phường Hoàng Liệt,Quận Hoàng Mai,72.0,1.0
,,,3.0,,Phường Dịch Vọng,Quận Cầu Giấy,111.0,2.0
Eurowindow River Park,,,2.0,,Xã Đông Hội,Huyện Đông Anh,77.0,2.0
,,,3.0,2.0,Phường Ngọc Khánh,Quận Ba Đình,105.0,-1.0
Sunshine Garden,Tây,,3.0,,Phường Vĩnh Tuy,Quận Hai Bà Trưng,82.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Khương Trung,Quận Thanh Xuân,86.0,-1.0
SDU - 143 Trần Phú,,,2.0,,Phường Văn Quán,Quận Hà Đông,65.0,-1.0
Dreamland Bonanza,,,2.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,73.0,2.0
KĐT Linh Đàm,,,2.0,,,Quận Hoàng Mai,73.0,1.0
,,,2.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,78.0,-1.0
,,,3.0,,Phường Hoàng Liệt,Quận Hoàng Mai,78.0,-1.0
The Sapphire-Vinhomes Smart City,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,55.0,1.0
Vinhomes Smart City,,,2.0,,,Quận Nam Từ Liêm,54.0,2.0
Goldmark City,,,2.0,,,Quận Bắc Từ Liêm,78.0,2.0
Tây Hồ River View,,,3.0,,Phường Phú Thượng,Quận Tây Hồ,91.0,2.0
Goldmark City,,,2.0,,,Quận Bắc Từ Liêm,68.0,2.0
,,,2.0,,Phường Nam Đồng,Quận Đống Đa,45.0,2.0
Đường Phạm Hùng,,,3.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,107.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,28.0,Phường Phú La,Quận Hà Đông,77.0,-1.0
KĐTM Dương Nội,,,2.0,,Phường Dương Nội,Quận Hà Đông,62.0,1.0
,,,3.0,20.0,Phường Trung Hòa,Quận Cầu Giấy,101.0,-1.0
Đường Tố Hữu,,,2.0,,Phường Trung Văn,Quận Nam Từ Liêm,76.0,-1.0
,,,3.0,6.0,Phường Mỹ Đình 2,Quận Nam Từ Liêm,128.0,-1.0
,,,3.0,22.0,Phường Nhân Chính,Quận Thanh Xuân,83.0,-1.0
,,,2.0,12.0,,Quận Hà Đông,66.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,16.0,Phường Nhân Chính,Quận Thanh Xuân,107.0,-1.0
,Đông,Giấy chứng nhận quyền sở hữu đất,1.0,27.0,Phường Mễ Trì,Quận Nam Từ Liêm,45.0,-1.0
The Garden Hills,,,2.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,70.0,-1.0
,Tây Bắc,Giấy chứng nhận quyền sở hữu đất,3.0,25.0,Phường Trung Hòa,Quận Cầu Giấy,144.0,-1.0
Việt Hưng,,,2.0,,Phường Đức Giang,Quận Long Biên,72.0,2.0
Vinhomes Skylake,Bắc,,2.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,80.0,2.0
,,,3.0,10.0,Phường Trung Hòa,Quận Cầu Giấy,110.0,-1.0
,,,3.0,15.0,Phường Yên Hòa,Quận Cầu Giấy,95.0,-1.0
The Miami,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,54.0,1.0
Anland Premium,,,2.0,,Phường La Khê,Quận Hà Đông,67.0,2.0
ĐTM Dịch Vọng,,,2.0,,Phường Dịch Vọng,Quận Cầu Giấy,90.0,2.0
Tân Việt Tower,,,3.0,,,Huyện Hoài Đức,116.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,20.0,Phường Đức Giang,Quận Long Biên,100.0,-1.0
Athena Complex,Nam,,2.0,,Phường Phương Canh,Quận Nam Từ Liêm,69.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Vĩnh Tuy,Quận Hai Bà Trưng,100.0,-1.0
,,,2.0,,Phường Thanh Nhàn,Quận Hai Bà Trưng,60.0,2.0
Chung cư 789 Xuân Đỉnh,,,2.0,,Phường Xuân Đỉnh,Quận Bắc Từ Liêm,61.0,2.0
Eco Lake View,,,2.0,,Phường Đại Kim,Quận Hoàng Mai,85.0,2.0
Việt Hưng,Đông,,3.0,,Phường Đức Giang,Quận Long Biên,116.0,2.0
,,,3.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,94.0,2.0
Khu đô thị Nam Trung Yên,,,3.0,,Phường Yên Hòa,Quận Cầu Giấy,75.0,-1.0
B1-B2 Tây Nam Linh Đàm,Đông,,3.0,,Phường Hoàng Liệt,Quận Hoàng Mai,96.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,2.0,Phường Khương Đình,Quận Thanh Xuân,53.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,10.0,Phường Nhân Chính,Quận Thanh Xuân,77.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Nghĩa Đô,Quận Cầu Giấy,111.0,-1.0
The Tonkin - Vinhomes Smart City,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,71.0,2.0
The Zurich - Vinhomes Ocean Park,,,3.0,,Xã Đa Tốn,Huyện Gia Lâm,87.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Phú La,Quận Hà Đông,108.0,-1.0
,,,3.0,,Phường Nhân Chính,Quận Thanh Xuân,108.0,2.0
,,,2.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,144.0,-1.0
Thăng Long Number One,,,3.0,,Phường Trung Hòa,Quận Cầu Giấy,117.0,2.0
CT2 Xuân Phương,,,4.0,,,Quận Nam Từ Liêm,156.0,3.0
Seasons Avenue,,,3.0,,Phường Mỗ Lao,Quận Hà Đông,95.0,2.0
Eco Green City,,,2.0,,Xã Tân Triều,Huyện Thanh Trì,67.0,2.0
The Sakura - Vinhomes Smart City,,,1.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,32.0,1.0
Masteri West Heights,,,1.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,43.0,1.0
Five Star Kim Giang,Bắc,,2.0,,Phường Kim Giang,Quận Thanh Xuân,77.0,2.0
KĐT Trung Văn - Hancic,Bắc,,3.0,,Phường Trung Văn,Quận Nam Từ Liêm,130.0,2.0
Phố Lò Đúc,,,2.0,,Phường Phạm Đình Hổ,Quận Hai Bà Trưng,80.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,8.0,Phường Xuân Đỉnh,Quận Bắc Từ Liêm,125.0,-1.0
Tòa Tháp Thiên Niên Kỷ,,,2.0,,Phường Yết Kiêu,Quận Hà Đông,62.0,2.0
Nam Xa la,,,2.0,,,Quận Hà Đông,58.0,1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Dịch Vọng,Quận Cầu Giấy,81.0,-1.0
Imperia Smart City,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,54.0,1.0
The Terra An Hưng,,,3.0,,Phường Dương Nội,Quận Hà Đông,97.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,1.0,1.0,Phường Đông Ngạc,Quận Bắc Từ Liêm,35.0,-1.0
Happy Star Tower,,,2.0,,Phường Giang Biên,Quận Long Biên,78.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,7.0,Phường Trung Hòa,Quận Cầu Giấy,88.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,15.0,Phường Xuân Phương,Quận Nam Từ Liêm,69.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Xuân Đỉnh,Quận Bắc Từ Liêm,80.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,3.0,Phường Thanh Xuân Trung,Quận Thanh Xuân,86.0,-1.0
Dreamland Bonanza,,,2.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,74.0,2.0
Booyoung,,,3.0,,Phường Mỗ Lao,Quận Hà Đông,95.0,2.0
89 Phùng Hưng,,,3.0,,,Quận Hà Đông,81.0,2.0
Samsora Premier,,,2.0,,Phường Yết Kiêu,Quận Hà Đông,70.0,2.0
Mon City - Hải Đăng City,,,2.0,,,Quận Nam Từ Liêm,68.0,2.0
Chung cư The Senique Hanoi,,,2.0,,,Huyện Gia Lâm,58.0,2.0
The Emerald CT8 Mỹ Đình,,,3.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,96.0,2.0
Kim Văn Kim Lũ,,,2.0,,Phường Đại Kim,Quận Hoàng Mai,65.0,2.0
Home City - Trung Kính Complex,,,2.0,,,Quận Cầu Giấy,71.0,2.0
Times City - Park Hill,Bắc,,2.0,,,Quận Hai Bà Trưng,75.0,2.0
Grand Sunlake,,,3.0,,Phường Văn Quán,Quận Hà Đông,97.0,2.0
Việt Hưng,Đông,,2.0,,Phường Đức Giang,Quận Long Biên,76.0,2.0
Masteri West Heights,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,55.0,2.0
,,,3.0,,Phường Trung Văn,Quận Nam Từ Liêm,132.0,-1.0
,,,3.0,8.0,Phường Láng Hạ,Quận Đống Đa,99.0,-1.0
,,,3.0,,Phường Hạ Đình,Quận Thanh Xuân,108.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Phường Minh Khai,Quận Hai Bà Trưng,101.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,3.0,Phường Nhân Chính,Quận Thanh Xuân,80.0,-1.0
Khu phức hợp cao tầng Mỹ Đình,,,3.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,95.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,30.0,Phường Đại Kim,Quận Hoàng Mai,55.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,10.0,Phường Hoàng Liệt,Quận Hoàng Mai,76.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,1.0,,Phường Phương Mai,Quận Đống Đa,52.0,-1.0
Học Viện Quốc Phòng,Nam,,3.0,,Phường Xuân La,Quận Tây Hồ,136.0,2.0
Nam Trung Yên,,,2.0,,Phường Trung Hòa,Quận Cầu Giấy,72.0,1.0
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,3.0,,Xã Tả Thanh Oai,Huyện Thanh Trì,77.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,10.0,Phường Trung Văn,Quận Nam Từ Liêm,100.0,-1.0
Rice City Sông Hồng,,,2.0,,,Quận Long Biên,68.0,2.0
Chung cư The Senique Hanoi,,,2.0,,Xã Dương Xá,Huyện Gia Lâm,64.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,8.0,Phường Văn Chương,Quận Đống Đa,55.0,-1.0
,,,2.0,9.0,Phường Đại Kim,Quận Hoàng Mai,65.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,15.0,Phường Phố Huế,Quận Hai Bà Trưng,56.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,15.0,Phường Trung Hòa,Quận Cầu Giấy,82.0,-1.0
Le Grand Jardin Sài Đồng,,,3.0,,Phường Sài Đồng,Quận Long Biên,84.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Phú Thượng,Quận Tây Hồ,80.0,-1.0
Berriver Long Biên,,,3.0,,Phường Bồ Đề,Quận Long Biên,101.0,2.0
Masteri West Heights,,,1.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,41.0,-1.0
HUD3 Nguyễn Đức Cảnh,,,3.0,,Phường Tương Mai,Quận Hoàng Mai,96.0,-1.0
Masteri Water Front,,,1.0,,Xã Đa Tốn,Huyện Gia Lâm,47.0,-1.0
Chung cư An Sinh,,,3.0,,Phường Cầu Diễn,Quận Nam Từ Liêm,122.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,5.0,Phường Nghĩa Tân,Quận Cầu Giấy,65.0,-1.0
Bình Vượng 200 Quang Trung,,,3.0,,Phường Quang Trung,Quận Hà Đông,92.0,2.0
The Park Home,,,2.0,,,Quận Cầu Giấy,80.0,2.0
Hà Nội Paragon,,,3.0,,Phường Dịch Vọng Hậu,Quận Cầu Giấy,103.0,2.0
Phố Lê Thanh Nghị,,,2.0,5.0,Phường Bách Khoa,Quận Hai Bà Trưng,60.0,-1.0
MHD Trung Văn,,,3.0,,,Quận Nam Từ Liêm,106.0,2.0
Mỹ Đình Plaza 2,,,2.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,74.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,4.0,Phường Quỳnh Mai,Quận Hai Bà Trưng,85.0,-1.0
,,,3.0,,Phường Phú Thượng,Quận Tây Hồ,125.0,2.0
,,,3.0,,Phường Dịch Vọng,Quận Cầu Giấy,127.0,-1.0
Hoàng Thành Pearl,,,3.0,,Phường Cầu Diễn,Quận Nam Từ Liêm,112.0,2.0
The Pavilion - Vinhomes Ocean Park,,,3.0,,Xã Dương Xá,Huyện Gia Lâm,98.0,2.0
Vinhomes Smart City,,,2.0,,,Quận Nam Từ Liêm,55.0,1.0
Khu đô thị mới Xa La,,,2.0,,Phường Phúc La,Quận Hà Đông,63.0,-1.0
VOV Mễ Trì,,,3.0,,Phường Mễ Trì,Quận Nam Từ Liêm,87.0,2.0
The Nine,,,3.0,,Phường Mai Dịch,Quận Cầu Giấy,100.0,2.0
Liền kề 622 Minh Khai,Đông,,3.0,,,Quận Hai Bà Trưng,80.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Phường Thanh Xuân Bắc,Quận Thanh Xuân,125.0,-1.0
,,,2.0,,Phường Đức Giang,Quận Long Biên,80.0,2.0
Chung cư The Wisteria,,,3.0,,Xã Di Trạch,Huyện Hoài Đức,110.0,3.0
The Zen Residence,,,1.0,,,Quận Hoàng Mai,54.0,1.0
Cienco1 Hoàng Đạo Thúy,,,3.0,,,Quận Thanh Xuân,155.0,3.0
Le Grand Jardin Sài Đồng,,,3.0,,Phường Sài Đồng,Quận Long Biên,85.0,2.0
,,,2.0,,Phường Yên Hòa,Quận Cầu Giấy,94.0,2.0
The Terra An Hưng,,,2.0,,Phường Dương Nội,Quận Hà Đông,70.0,2.0
Eurowindow River Park,,,2.0,,Xã Đông Hội,Huyện Đông Anh,73.0,2.0
Masteri Water Front,,,2.0,,Xã Đa Tốn,Huyện Gia Lâm,43.0,-1.0
Sunrise Garden (Bình Minh Garden),,,3.0,,,Quận Long Biên,105.0,-1.0
Thăng Long Number One,,,3.0,,Phường Trung Hòa,Quận Cầu Giấy,111.0,2.0
Vinhomes Ocean Park Gia Lâm,,,2.0,,Xã Dương Xá,Huyện Gia Lâm,67.0,2.0
FLC Star Tower,,,3.0,,Phường Quang Trung,Quận Hà Đông,100.0,2.0
The Matrix One,,,2.0,,Phường Mễ Trì,Quận Nam Từ Liêm,88.0,2.0
Chung cư The Wisteria,,,3.0,,Xã Di Trạch,Huyện Hoài Đức,114.0,3.0
,,,2.0,,Phường Khâm Thiên,Quận Đống Đa,57.0,2.0
Vimeco II - Nguyễn Chánh,Bắc,,3.0,,Phường Trung Hòa,Quận Cầu Giấy,151.0,2.0
Mipec Rubik 360,Tây,,3.0,,Phường Dịch Vọng Hậu,Quận Cầu Giấy,95.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,7.0,Phường Hoàng Liệt,Quận Hoàng Mai,78.0,-1.0
The Pride,,,3.0,,Phường La Khê,Quận Hà Đông,94.0,2.0
,,,3.0,,Phường Yên Hòa,Quận Cầu Giấy,98.0,-1.0
Sky Park Residence,,,3.0,,Phường Dịch Vọng Hậu,Quận Cầu Giấy,95.0,2.0
Golden Field Mỹ Đình,,,4.0,,Phường Cầu Diễn,Quận Nam Từ Liêm,124.0,2.0
Golden Land,,,3.0,,Phường Thanh Xuân Trung,Quận Thanh Xuân,150.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Vĩnh Tuy,Quận Hai Bà Trưng,74.0,-1.0
Hoàng Thành Pearl,,,2.0,,Phường Cầu Diễn,Quận Nam Từ Liêm,80.0,2.0
Home City - Trung Kính Complex,,,3.0,,,Quận Cầu Giấy,95.0,2.0
Kim Văn Kim Lũ,,,2.0,,Phường Đại Kim,Quận Hoàng Mai,57.0,2.0
Vinhomes Ocean Park,,,2.0,,Xã Dương Xá,Huyện Gia Lâm,70.0,-1.0
6 Đội Nhân,,,2.0,,Phường Vĩnh Phúc,Quận Ba Đình,71.0,-1.0
An Bình Plaza,,,3.0,,,Quận Nam Từ Liêm,83.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Trung Liệt,Quận Đống Đa,75.0,-1.0
Central Field Trung Kính,,,2.0,,Phường Yên Hòa,Quận Cầu Giấy,71.0,2.0
Vinhomes Ocean Park Gia Lâm,,,1.0,,Xã Dương Xá,Huyện Gia Lâm,36.0,1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,25.0,Phường Trung Văn,Quận Nam Từ Liêm,140.0,-1.0
,,,1.0,,Phường Đống Mác,Quận Hai Bà Trưng,28.0,1.0
The Link 345-CT1,,,3.0,,Phường Đông Ngạc,Quận Bắc Từ Liêm,107.0,2.0
The Zen Residence,,,1.0,,,Quận Hoàng Mai,55.0,1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,10.0,Phường Trung Hòa,Quận Cầu Giấy,68.0,-1.0
D’. El Dorado,,,1.0,,,Quận Tây Hồ,45.0,1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,10.0,Phường Mai Dịch,Quận Cầu Giấy,91.0,-1.0
Green Park Trần Thủ Độ,,,2.0,,Phường Hoàng Liệt,Quận Hoàng Mai,60.0,2.0
Vinhomes West Point,,,2.0,,Phường Mễ Trì,Quận Nam Từ Liêm,63.0,2.0
Khu đô thị Việt Hưng,,,3.0,,Phường Đức Giang,Quận Long Biên,118.0,-1.0
HH4 Linh Đàm,,,2.0,,,Quận Hoàng Mai,65.0,2.0
Dream Town,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,115.0,2.0
Vinhomes Smart City,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,53.0,1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,9.0,Phường Trung Hòa,Quận Cầu Giấy,61.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Phú Thượng,Quận Tây Hồ,57.0,-1.0
Bea Sky,,,3.0,,Phường Đại Kim,Quận Hoàng Mai,85.0,2.0
Thanh Hà Mường Thanh,Nam,,2.0,,,Quận Hà Đông,70.0,2.0
,,,3.0,,Phường Thành Công,Quận Ba Đình,70.0,2.0
Việt Hưng,,,2.0,,Phường Đức Giang,Quận Long Biên,78.0,1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Văn Quán,Quận Hà Đông,70.0,-1.0
Masteri West Heights,,,1.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,43.0,1.0
,,Giấy chứng nhận quyền sở hữu đất,1.0,1.0,Phường Khương Trung,Quận Thanh Xuân,20.0,-1.0
Riverside Garden,Nam,,3.0,,,Quận Thanh Xuân,126.0,2.0
KĐTM Dương Nội,,,3.0,,Phường Dương Nội,Quận Hà Đông,107.0,2.0
Đồng Phát Park View Tower,,,2.0,,Phường Vĩnh Hưng,Quận Hoàng Mai,67.0,-1.0
,,,2.0,,,Quận Cầu Giấy,86.0,2.0
HH1 Linh Đàm,Tây,,2.0,,,Quận Hoàng Mai,67.0,2.0
Khu đô thị mới Đại Thanh,,,2.0,,Xã Tả Thanh Oai,Huyện Thanh Trì,47.0,-1.0
,,Giấy tờ hợp lệ,3.0,1.0,Phường Mộ Lao,Quận Hà Đông,104.0,-1.0
Thành Phố Giao Lưu,Bắc,,2.0,,,Quận Bắc Từ Liêm,86.0,2.0
Chung cư The Wisteria,,,3.0,,Xã Di Trạch,Huyện Hoài Đức,105.0,2.0
The Zenpark,,,1.0,,Xã Dương Xá,Huyện Gia Lâm,45.0,-1.0
Goldmark City,,,2.0,,Phường Phú Diễn,Quận Bắc Từ Liêm,78.0,2.0
Sudico Mỹ Đình,Tây,,3.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,135.0,2.0
Mỹ Đình Pearl,,,2.0,,Phường Phú Đô,Quận Nam Từ Liêm,74.0,2.0
,,,2.0,,Phường Phương Mai,Quận Đống Đa,100.0,2.0
C14 Bộ Quốc Phòng,,,2.0,,,Quận Hoàng Mai,60.0,-1.0
Khu đô thị mới Văn Phú,,,2.0,,,Quận Hà Đông,80.0,-1.0
The Pride,,,3.0,,Phường La Khê,Quận Hà Đông,103.0,-1.0
Seasons Avenue,,,3.0,,,Quận Hà Đông,112.0,2.0
Nam Trung Yên,,,2.0,,,Quận Cầu Giấy,60.0,-1.0
Eco Lake View,,,2.0,,Phường Đại Kim,Quận Hoàng Mai,68.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Bồ Đề,Quận Long Biên,84.0,-1.0
Roman Plaza,,,2.0,,Phường Đại Mỗ,Quận Nam Từ Liêm,77.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Xã Tân Triều,Huyện Thanh Trì,56.0,-1.0
HH4 Linh Đàm,,,1.0,,Phường Hoàng Liệt,Quận Hoàng Mai,45.0,-1.0
KĐT Đại Kim,,,2.0,,Phường Đại Kim,Quận Hoàng Mai,66.0,1.0
Eurowindow River Park,,,2.0,,Xã Đông Hội,Huyện Đông Anh,63.0,2.0
,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,3.0,5.0,Phường Yên Hòa,Quận Cầu Giấy,95.0,-1.0
,Tây,Giấy chứng nhận quyền sở hữu đất,1.0,1.0,Phường Minh Khai,Quận Hai Bà Trưng,38.0,-1.0
Phú Mỹ,,,4.0,,Phường Cầu Diễn,Quận Nam Từ Liêm,128.0,2.0
,,,3.0,,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,83.0,-1.0
Chung cư The Legacy,,,3.0,,Phường Thanh Xuân Trung,Quận Thanh Xuân,127.0,2.0
Khu đô thị Vinhomes SkyLake,,,1.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,45.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Mai Dịch,Quận Cầu Giấy,92.0,-1.0
Eurowindow Multi Complex,,,3.0,,Phường Trung Hòa,Quận Cầu Giấy,122.0,2.0
Goldmark City,,,2.0,,,Quận Bắc Từ Liêm,68.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Láng Hạ,Quận Đống Đa,55.0,-1.0
Hoàng Thành Pearl,,,2.0,,,Quận Nam Từ Liêm,81.0,2.0
,,,1.0,2.0,Phường Mai Dịch,Quận Cầu Giấy,45.0,-1.0
Sky City Towers-88 Láng Hạ,Tây,,2.0,,,Quận Đống Đa,101.0,2.0
AZ Lâm Viên Complex,Tây,,3.0,,Phường Dịch Vọng Hậu,Quận Cầu Giấy,130.0,2.0
KĐT Linh Đàm,Nam,,3.0,,Phường Đại Kim,Quận Hoàng Mai,83.0,2.0
A10-A14 Nam Trung Yên,,,2.0,,,Quận Cầu Giấy,61.0,1.0
Xuân Mai Complex,,,3.0,,Phường Yên Nghĩa,Quận Hà Đông,107.0,2.0
Trung Hòa Nhân Chính,,,2.0,,Phường Trung Hòa,Quận Cầu Giấy,70.0,2.0
Chung cư Bộ Tổng Tham Mưu,,,2.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,77.0,-1.0
,,,3.0,5.0,Phường Thanh Xuân Trung,Quận Thanh Xuân,97.0,-1.0
Feliz Homes,,,3.0,,Phường Hoàng Văn Thụ,Quận Hoàng Mai,100.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Sài Đồng,Quận Long Biên,97.0,-1.0
Times City - Park Hill,,,2.0,,Phường Vĩnh Tuy,Quận Hai Bà Trưng,83.0,2.0
Vinhomes Ocean Park Gia Lâm,,,2.0,,Xã Đa Tốn,Huyện Gia Lâm,69.0,2.0
,,,2.0,1.0,Phường Quỳnh Mai,Quận Hai Bà Trưng,65.0,-1.0
,,,3.0,,Phường Giảng Võ,Quận Ba Đình,80.0,2.0
Cầu Giấy Center Point,,,3.0,,Phường Quan Hoa,Quận Cầu Giấy,127.0,2.0
,,,2.0,,,Quận Thanh Xuân,75.0,1.0
